Genome Size,Genome Type,k,Query Time,Query Type,Algorithm
2319838,Half,0,0.0014348030090332031,3:3862464:R,simpaccel
2319838,Half,0,0.0017168521881103516,4:1489317:R,simpaccel
2319838,Half,0,0.0014200210571289062,5:2776995:R,simpaccel
2319838,Half,0,0.0015001296997070312,6:4353899:R,simpaccel
2319838,Half,0,0.0016930103302001953,7:1042714:R,simpaccel
2319838,Half,0,0.0018548965454101562,8:4209115:R,simpaccel
2319838,Half,0,0.0015370845794677734,9:3303294:R,simpaccel
2319838,Half,0,0.0015370845794677734,10:3725404:R,simpaccel
2319838,Half,10,0.0026328563690185547,0:407193:R,simpaccel
2319838,Half,10,0.0016448497772216797,1:4535624:R,simpaccel
2319838,Half,10,0.001728057861328125,2:816501:R,simpaccel
2319838,Half,10,0.0015239715576171875,3:3862464:R,simpaccel
2319838,Half,10,0.0017850399017333984,4:1489317:R,simpaccel
2319838,Half,10,0.0015339851379394531,5:2776995:R,simpaccel
2319838,Half,10,0.0015652179718017578,6:4353899:R,simpaccel
2319838,Half,10,0.0017359256744384766,7:1042714:R,simpaccel
2319838,Half,10,0.0019121170043945312,8:4209115:R,simpaccel
2319838,Half,10,0.0015020370483398438,9:3303294:R,simpaccel
2319838,Half,10,0.0014998912811279297,10:3725404:R,simpaccel
2319838,Half,20,0.002518892288208008,0:407193:R,simpaccel
2319838,Half,20,0.0020859241485595703,1:4535624:R,simpaccel
2319838,Half,20,0.0017499923706054688,2:816501:R,simpaccel
2319838,Half,20,0.0015077590942382812,3:3862464:R,simpaccel
2319838,Half,20,0.001783132553100586,4:1489317:R,simpaccel
2319838,Half,20,0.0015900135040283203,5:2776995:R,simpaccel
2319838,Half,20,0.0016360282897949219,6:4353899:R,simpaccel
2319838,Half,20,0.001741170883178711,7:1042714:R,simpaccel
2319838,Half,20,0.0022029876708984375,8:4209115:R,simpaccel
2319838,Half,20,0.0015702247619628906,9:3303294:R,simpaccel
2319838,Half,20,0.004997730255126953,10:3725404:R,simpaccel
2319838,Half,30,0.004982948303222656,0:407193:R,simpaccel
2319838,Half,30,0.0017459392547607422,1:4535624:R,simpaccel
2319838,Half,30,0.0018019676208496094,2:816501:R,simpaccel
2319838,Half,30,0.001558065414428711,3:3862464:R,simpaccel
2319838,Half,30,0.0018339157104492188,4:1489317:R,simpaccel
2319838,Half,30,0.001920938491821289,5:2776995:R,simpaccel
2319838,Half,30,0.0016667842864990234,6:4353899:R,simpaccel
2319838,Half,30,0.0018339157104492188,7:1042714:R,simpaccel
2319838,Half,30,0.0019588470458984375,8:4209115:R,simpaccel
2319838,Half,30,0.0015978813171386719,9:3303294:R,simpaccel
2319838,Half,30,0.0016109943389892578,10:3725404:R,simpaccel
2319838,Half,0,0.0017919540405273438,0:407193:R,naive
2319838,Half,0,0.0015187263488769531,1:4535624:R,naive
2319838,Half,0,0.0016579627990722656,2:816501:R,naive
2319838,Half,0,0.0014290809631347656,3:3862464:R,naive
2319838,Half,0,0.001711130142211914,4:1489317:R,naive
2319838,Half,0,0.0014598369598388672,5:2776995:R,naive
2319838,Half,0,0.0015270709991455078,6:4353899:R,naive
2319838,Half,0,0.0016760826110839844,7:1042714:R,naive
2319838,Half,0,0.0018737316131591797,8:4209115:R,naive
2319838,Half,0,0.0015292167663574219,9:3303294:R,naive
2319838,Half,0,0.0015218257904052734,10:3725404:R,naive
2319838,Half,10,0.0017879009246826172,0:407193:R,naive
2319838,Half,10,0.0014848709106445312,1:4535624:R,naive
2319838,Half,10,0.0015840530395507812,2:816501:R,naive
2319838,Half,10,0.001379251480102539,3:3862464:R,naive
2319838,Half,10,0.001650094985961914,4:1489317:R,naive
2319838,Half,10,0.0014240741729736328,5:2776995:R,naive
2319838,Half,10,0.0014750957489013672,6:4353899:R,naive
2319838,Half,10,0.001604318618774414,7:1042714:R,naive
2319838,Half,10,0.0017409324645996094,8:4209115:R,naive
2319838,Half,10,0.0014460086822509766,9:3303294:R,naive
2319838,Half,10,0.0014460086822509766,10:3725404:R,naive
2319838,Half,20,0.005809783935546875,0:407193:R,naive
2319838,Half,20,0.0020160675048828125,1:4535624:R,naive
2319838,Half,20,0.001722097396850586,2:816501:R,naive
2319838,Half,20,0.0015327930450439453,3:3862464:R,naive
2319838,Half,20,0.0017871856689453125,4:1489317:R,naive
2319838,Half,20,0.0015549659729003906,5:2776995:R,naive
